GeneName	YFR-1	YFR-2	YFR-3	YFR-4	YFR-5	YFR-6
PEG13	5.570472972	5.520175098	5.853859628	5.605693479	5.725042368	5.260687065
PEG3	-1.731912749	-1.711944737	-1.734798324	-1.734695787	-1.736325451	-1.731920221
PEG3-AS1	0	0	0	0	0	0
PELI1	10.50539411	10.49641581	10.51759749	11.5532044	11.58694722	11.60311691
PELI2	9.341742997	9.469770829	9.440221523	9.224327033	9.376524527	9.330751542
PELI3	7.763232914	7.575230043	7.705263171	7.971204358	7.982189949	8.074131566
PELO	10.11464154	9.963649123	10.09836895	9.780651168	9.685734923	9.82194716
PELP1	13.0849616	12.92873053	13.00118278	12.54503323	12.39404901	12.46442273
PEMT	9.649329176	9.173389552	9.484454967	9.330871227	9.299369555	9.327745881
PENK	4.573855023	4.497365654	4.460390736	4.668054987	4.469975968	4.498034536
PEPD	11.29578946	11.02043765	11.20884398	10.83664542	10.80974145	10.84343209
PER1	10.91174167	10.7819316	10.92949153	10.89765843	10.78902891	10.89829963
PER2	7.832110406	7.708852542	7.767250973	7.767930064	7.710434555	7.550629137
PER3	8.945243125	8.998675835	8.92444749	7.806883071	7.993165512	7.679658992
PER4	0	0	0	0	0	0
PERM1	5.118399157	4.901532682	5.46275313	5.372598286	5.578698655	5.427204178
PERP	11.35853517	11.37009205	11.37643288	12.62468729	12.65177527	12.69681738
PES1	12.08640373	12.0388196	11.94479812	11.93665022	11.78530476	11.86848573
PET100	9.320048338	9.279212605	9.319951424	9.203862215	9.107522196	9.107302938
PET117	5.931198423	5.603540777	5.701882382	5.555448288	5.748236224	5.485989561
PEX1	10.20975789	10.42033984	10.3043989	10.25904886	10.29335999	10.36981974
PEX10	9.238920002	9.072756613	9.292260664	9.389667517	9.376051985	9.340647803
PEX11A	7.172752174	7.067655138	6.858410139	6.68120675	6.834383179	6.592020896
PEX11B	8.614387609	8.584985969	8.504193464	8.585462227	8.701540172	8.729197827
PEX11G	4.93381804	5.092247191	4.861055944	4.886461906	4.97014359	4.625913443
